Unnamed: 0,datetime,open,high,low,close,volume,close_rsi_10,close_rsi_10_ma_5,close_rsi_10_ma_9,signals
0,2023-01-01 05:30:00,16541.77,16545.7,16508.39,16529.67,4364.8357,,,,0
1,2023-01-01 06:30:00,16529.59,16556.8,16525.78,16551.47,3590.06669,,,,0
2,2023-01-01 07:30:00,16551.47,16559.77,16538.14,16548.19,3318.84038,,,,0
3,2023-01-01 08:30:00,16548.19,16548.19,16518.21,16533.04,4242.0805,,,,0
4,2023-01-01 09:30:00,16533.04,16535.97,16511.92,16521.85,4285.00909,,,,0
5,2023-01-01 10:30:00,16522.22,16534.98,16512.3,16530.71,3717.37178,,,,0
6,2023-01-01 11:30:00,16530.71,16550.0,16528.81,16539.79,3344.90206,,,,0
7,2023-01-01 12:30:00,16539.79,16544.57,16499.01,16526.19,5184.95822,,,,0
8,2023-01-01 13:30:00,16525.7,16534.03,16508.45,16513.34,4271.92023,,,,0
9,2023-01-01 14:30:00,16513.33,16542.49,16505.2,16537.88,4100.75049,,,,0
10,2023-01-01 15:30:00,16538.32,16548.71,16533.42,16548.34,3803.76616,57.13630456387152,,,0
11,2023-01-01 16:30:00,16547.98,16557.0,16540.2,16556.66,3739.53013,59.9655689454101,,,0
12,2023-01-01 17:30:00,16556.66,16572.94,16548.58,16560.93,4150.48564,61.4177910717578,,,0
13,2023-01-01 18:30:00,16561.29,16567.26,16539.05,16548.04,4379.68203,54.75569054272926,,,0
14,2023-01-01 19:30:00,16547.61,16558.56,16540.85,16542.94,3294.99093,52.26345078570258,57.10776118189425,,0
15,2023-01-01 20:30:00,16542.94,16559.99,16533.68,16558.73,3220.93236,58.726034742029995,57.42570721752594,,0
16,2023-01-01 21:30:00,16558.73,16584.66,16558.0,16565.14,4962.13235,61.101359471065884,57.6528653226571,,0
17,2023-01-01 22:30:00,16565.13,16596.64,16562.51,16578.85,4714.40354,65.78136525448471,58.52558015920249,,0
18,2023-01-01 23:30:00,16579.25,16603.89,16578.85,16591.88,4146.37245,69.63877448583166,61.50219694782296,60.08737109587595,0
19,2023-01-02 00:30:00,16591.35,16623.65,16591.34,16603.08,4709.74023,72.58982070383631,65.56747093144972,61.804428444760916,0
20,2023-01-02 01:30:00,16603.53,16628.0,16600.55,16604.51,4189.05318,72.96263840845086,68.41479166473388,63.24854727398767,0
21,2023-01-02 02:30:00,16604.51,16608.83,16592.63,16606.68,3656.77804,73.568792229817,70.9082782164841,64.59865851377202,0
